,year,e_inc_100k,e_inc_num,e_mort_100k,e_mort_num,BCG,GNP
0,2000,289.0,3040000,68.0,717000,74.0,440.0
1,2001,288.0,3090000,64.0,684000,75.0,450.0
2,2002,287.0,3130000,63.0,681000,75.0,450.0
3,2003,285.0,3160000,61.0,675000,77.0,510.0
4,2004,282.0,3180000,59.0,664000,80.0,600.0
5,2005,279.0,3190000,58.0,662000,86.0,700.0
6,2006,274.0,3180000,55.0,643000,86.0,790.0
7,2007,268.0,3160000,53.0,625000,87.0,920.0
8,2008,261.0,3130000,51.0,609000,86.0,1000.0
9,2009,254.0,3090000,49.0,592000,88.0,1110.0
10,2010,247.0,3050000,46.0,562000,89.0,1220.0
11,2011,241.0,3000000,45.0,556000,90.0,1380.0
12,2012,234.0,2960000,43.0,539000,90.0,1480.0
13,2013,228.0,2920000,41.0,520000,91.0,1520.0
14,2014,223.0,2880000,37.0,483000,89.0,1560.0
15,2015,217.0,2840000,35.0,462000,87.0,1600.0
16,2016,211.0,2790000,33.0,438000,89.0,1680.0
17,2017,204.0,2740000,31.0,421000,91.0,1800.0
